id,key,value,type
137364097,highway,turning_circle,regular
137365027,highway,turning_circle,regular
137366653,highway,turning_circle,regular
137366731,source,Bing,regular
137366731,highway,turning_circle,regular
137368350,highway,turning_circle,regular
137368567,source,Yahoo,regular
137368567,highway,turning_circle,regular
137369057,highway,turning_circle,regular
137369458,highway,turning_circle,regular
137369537,highway,turning_circle,regular
137369571,highway,turning_circle,regular
137369700,highway,turning_circle,regular
137369721,highway,turning_circle,regular
137369738,source,Bing,regular
137369738,highway,turning_circle,regular
137369852,source,Yahoo,regular
137369852,highway,turning_circle,regular
137370272,noexit,yes,regular
137370403,highway,turning_circle,regular
137370541,source,Yahoo,regular
137370541,highway,turning_circle,regular
137370649,source,Bing,regular
137370649,highway,turning_circle,regular
137371286,highway,turning_circle,regular
137371699,highway,turning_circle,regular
137371803,highway,turning_circle,regular
137372293,highway,turning_circle,regular
137372469,highway,turning_circle,regular
137372856,highway,turning_circle,regular
137373330,highway,traffic_signals,regular
137373385,highway,traffic_signals,regular
137373520,source,Yahoo,regular
137373520,highway,turning_circle,regular
137373630,highway,turning_circle,regular
137374105,highway,turning_circle,regular
137374414,highway,turning_circle,regular
137374430,highway,turning_circle,regular
137374857,highway,turning_circle,regular
137374955,highway,turning_circle,regular
137375347,highway,turning_circle,regular
137375747,highway,traffic_signals,regular
137375747,crossing,traffic_signals,regular
137376146,highway,turning_circle,regular
137376200,highway,turning_circle,regular
137376433,highway,turning_circle,regular
137376489,highway,turning_circle,regular
137376661,highway,turning_circle,regular
137376690,source,Bing,regular
137376690,highway,turning_circle,regular
137376978,source,Bing,regular
137376978,highway,turning_circle,regular
137378176,highway,turning_circle,regular
137378236,source,bing,regular
137378236,highway,turning_circle,regular
137378304,highway,turning_circle,regular
137378671,highway,turning_circle,regular
137380190,highway,turning_circle,regular
137380546,highway,turning_circle,regular
137380880,highway,turning_circle,regular
137381303,highway,turning_circle,regular
137382715,source,Bing,regular
137382715,highway,turning_circle,regular
137384043,source,Yahoo,regular
137384043,highway,turning_circle,regular
137384204,highway,turning_circle,regular
137384799,highway,turning_circle,regular
137384821,highway,turning_circle,regular
137385053,highway,turning_circle,regular
137385647,highway,turning_circle,regular
137385708,highway,turning_circle,regular
137386077,highway,turning_circle,regular
137386335,highway,turning_circle,regular
137386996,highway,turning_circle,regular
137387334,highway,turning_circle,regular
137387531,highway,turning_circle,regular
137388113,highway,turning_circle,regular
137388211,source,Bing,regular
137388211,highway,turning_circle,regular
137388378,highway,turning_circle,regular
137389057,highway,turning_circle,regular
137389361,highway,turning_circle,regular
137389489,noexit,yes,regular
137389806,highway,turning_circle,regular
137390524,highway,turning_circle,regular
137390549,highway,turning_circle,regular
137391142,highway,turning_circle,regular
137391259,highway,turning_circle,regular
137392718,highway,turning_circle,regular
137393103,noexit,yes,regular
137393269,highway,turning_circle,regular
137393462,source,Bing,regular
137393462,highway,turning_circle,regular
137394056,source,bing,regular
137394056,highway,turning_circle,regular
137394423,highway,turning_circle,regular
137395320,source,Bing,regular
137395320,highway,turning_circle,regular
137396252,source,Bing,regular
137396252,highway,turning_circle,regular
137396425,highway,turning_circle,regular
137396438,highway,turning_circle,regular
137397037,source,Bing,regular
137397037,highway,turning_circle,regular
137398769,highway,turning_circle,regular
137399016,highway,turning_circle,regular
137400065,source,Bing,regular
137400065,highway,turning_circle,regular
137400486,highway,turning_circle,regular
137400557,highway,turning_circle,regular
137401166,highway,traffic_signals,regular
137401166,traffic_signals,signal,regular
137402120,source,Bing,regular
137402120,highway,traffic_signals,regular
137403140,highway,turning_circle,regular
137403275,highway,turning_circle,regular
137403552,highway,turning_circle,regular
137404097,noexit,yes,regular
137404557,highway,turning_circle,regular
137404631,highway,turning_circle,regular
137405190,source,Bing,regular
137405190,highway,turning_circle,regular
137405389,highway,turning_circle,regular
137405803,source,Yahoo,regular
137405803,highway,turning_circle,regular
137407067,highway,motorway_junction,regular
137407067,ref,61,regular
137407509,highway,turning_circle,regular
137407792,noexit,yes,regular
137408330,highway,turning_circle,regular
137408522,highway,turning_circle,regular
137408605,highway,turning_circle,regular
137408813,highway,turning_circle,regular
137409265,highway,turning_circle,regular
137409695,highway,turning_circle,regular
137410306,highway,turning_circle,regular
137410471,highway,turning_circle,regular
137412975,highway,traffic_signals,regular
137413697,highway,turning_circle,regular
137413768,highway,turning_circle,regular
137413867,highway,turning_circle,regular
137413994,highway,turning_circle,regular
137414607,highway,turning_circle,regular
137414753,highway,turning_circle,regular
137416972,highway,turning_circle,regular
137417236,highway,traffic_signals,regular
137417236,crossing,traffic_signals,regular
137417826,highway,turning_circle,regular
137417962,highway,turning_circle,regular
137418023,highway,turning_circle,regular
137418755,noexit,yes,regular
137418864,highway,turning_circle,regular
137419021,highway,turning_circle,regular
137419260,highway,turning_circle,regular
137419583,highway,turning_circle,regular
137420660,highway,turning_circle,regular
137422072,highway,turning_circle,regular
137422249,highway,turning_circle,regular
137422341,highway,turning_circle,regular
137422519,highway,turning_circle,regular
137422565,highway,turning_circle,regular
137423956,highway,traffic_signals,regular
137424885,railway,level_crossing,regular
137424885,bell,yes,crossing
137424885,light,yes,crossing
137424885,barrier,no,crossing
137425167,highway,turning_circle,regular
137425283,highway,turning_circle,regular
137429531,highway,traffic_signals,regular
137429920,noexit,yes,regular
137429935,noexit,yes,regular
137429986,highway,turning_circle,regular
137430085,highway,turning_circle,regular
137430297,source,Bing,regular
137430297,highway,turning_circle,regular
137430870,highway,turning_circle,regular
137431345,highway,turning_circle,regular
137431367,highway,turning_circle,regular
137431484,highway,turning_circle,regular
137431669,source,Yahoo,regular
137431669,highway,turning_circle,regular
137431982,highway,turning_circle,regular
137432093,source,Bing,regular
137432093,highway,turning_circle,regular
137432553,noexit,yes,regular
137433320,highway,turning_circle,regular
137433655,source,Bing,regular
137433655,highway,turning_circle,regular
137435468,highway,turning_circle,regular
137435832,highway,turning_circle,regular
137436210,highway,turning_circle,regular
137436754,highway,turning_circle,regular
137436990,highway,turning_circle,regular
137437018,highway,turning_circle,regular
137438570,highway,traffic_signals,regular
137438570,crossing,traffic_signals,regular
137438826,highway,turning_circle,regular
137438916,highway,turning_circle,regular
137439099,highway,traffic_signals,regular
137439236,highway,turning_circle,regular
137439968,highway,turning_circle,regular
137440846,highway,traffic_signals,regular
137440846,traffic_signals,signal,regular
137441149,highway,turning_circle,regular
